You are now connected to database "topmodelsql" as user "Jonathan".
DROP TABLE
CREATE TABLE
INSERT 0 28
 id | event_date | revenue | category_id | agent_id | brand_id | area_id | model_id 
----+------------+---------+-------------+----------+----------+---------+----------
  1 |            |  149.85 |           1 |        5 |       21 |       1 |        2
  2 |            |    3458 |           1 |        5 |       15 |       1 |        5
  3 |            |  149.85 |           1 |        5 |       13 |       1 |        2
  4 |            |    3458 |           1 |        5 |        9 |       1 |        5
  5 |            |    3458 |           1 |        5 |        3 |       1 |        5
  6 |            |    1500 |           2 |        2 |       19 |       2 |        7
  7 |            |    1500 |           2 |        2 |        2 |       2 |        7
  8 |            | 5177.48 |           5 |        7 |       23 |       3 |       14
  9 |            | 1846.74 |           5 |        7 |       14 |       3 |        4
 10 |            | 9899.89 |           3 |        6 |       26 |       4 |        8
 11 |            | 9899.89 |           3 |        6 |       25 |       4 |        8
 12 |            |     480 |           3 |        6 |        7 |       4 |       12
 13 |            |    1625 |           7 |        4 |       27 |       5 |       11
 14 |            |    1625 |           7 |        4 |       24 |       5 |       11
 15 |            |    3600 |           7 |        4 |       22 |       5 |        6
 16 |            | 2999.94 |           7 |        4 |       11 |       5 |        1
 17 |            | 2999.94 |           7 |        4 |       10 |       5 |        1
 18 |            |    1625 |           7 |        4 |        6 |       5 |       11
 19 |            |    1050 |           4 |        1 |       17 |       6 |        9
 20 |            |    1050 |           4 |        1 |        8 |       6 |        9
 21 |            |     950 |           4 |        1 |        5 |       6 |       13
 22 |            |    1050 |           4 |        1 |        1 |       6 |        9
 23 |            | 7214.85 |           6 |        3 |       20 |       7 |       10
 24 |            |    1530 |           6 |        3 |       18 |       7 |        3
 25 |            | 7214.85 |           6 |        3 |       16 |       7 |       10
 26 |            | 7214.85 |           6 |        3 |       14 |       7 |       10
 27 |            |    1530 |           6 |        3 |       12 |       7 |        3
 28 |            |    1530 |           6 |        3 |        4 |       7 |        3
(28 rows)

